Adri,Adrián,m,
Adri,Adriano,m,
Adri,Adriana,f,
Ale,Alejandra,f,
Ale,Alejandro,m,Argentina
Aleja,Alejandra,f,
Alejo,Alejandro,m,
Álex,Alejandro,m,
Ali,Alicia,f,
Almu,Almudena,f,
Anabel,Ana Belén,f,
Anabel,Ana Isabel,f,
Anaisa,Ana Isabel,f,
Angelita,María de los Ángeles,f,
Angelita,Ángela,f,
Asun,Asunción,f,
Bas,Sebastián,m,
Bea,Beatriz,f,
Berna,Bernabé,m,
Berni,Bernardo,f,
Berta,Alberta,f,
Berta,Humberta,f,
Berta,Norberta,f,
Berta,Roberta,f,
Berta,Rigoberta,f,
Bertín,Humberto,m,
Bertín,Norberto,m,
Bertín,Roberto,m,
Bertín,Rigoberto,m,
Bertín,Alberto,m,
Berto,Rigoberto,m,
Berto,Roberto,m,
Berto,Norberto,m,
Berto,Humberto,m,
Berto,Alberto,m,
Beti,Beatriz,f,
Beto,Alberto,m,
Beto,Humberto,m,
Beto,Norberto,m,
Beto,Roberto,m,
Beto,Rigoberto,m,
Boni,Bonifacio,m,
Cacho,Carlos,m,
Camucha,Carmen,f,
Carmela,Carmen,f,
Carmelina,Carmen,f,
Carmelita,Carmen,f,
Carmencho,Carmen,f,
Carmenchu,Carmen,f,
Carmenza,Carmen,f,
Carmina,Carmen,f,
Carmiña,Carmen,f,
Carmucha,Carmen,f,
Caro,Carolina,f,
Caro,Carola,f,
Carol,Carolina,f,
Cata,Catalina,f,
Cati,Catalina,f,
Chabela,Isabel,f,
Chago,Santiago,m,Mexico
Chale,Carlos,m,
Charo,Rosario,f,
Chava,Salvador,m,
Chavena,Isabel,f,Mexico
Chayo,Rosario,f,Mexico
Chebo,Eusebio,m,
Cheché,José,m,
Cheché,María José,f,
Checho,Sergio,m,
Checo,Sergio,m,
Chela,Graciela,f,
Chela,Marcela,f,
Chela,Araceli,f,
Chelo,Consuelo,f,
Chelo,Marcelo,m,
Chema,José María,m,
Chendo,Rosendo,m,
Chente,Vicente,m,
Cheo,José,m,
Chepa,Josefa,f,
Chepina,Josefina,f,
Chía,Lucía,f,
Chicha,Francisca,f,
Chicha,María Luisa,f,
Chicho,Francisco,m,
Chicho,Narciso,m,
Chimo,Joaquín,m,
Chío,Cecilio,m,
Chío,Rocío,f,
Chon,Ascensión,f,
Chon,Asunción,f,
Chucho,Jesús,m,
Chus,Jesús,m,
Chus,María Jesús,f,
Chuy,Jesús,m,
Coco,Jorge,m,
Conce,Concepción,f,
Concha,Concepción,f,
Conchi,Concepción,f,
Conchita,Concepción,f,
Concho,Consuelo,f,
Coni,Concepción,f,
Coni,Consuelo,f,
Coni,Constanza,f,
Coque,Jorge,m,
Cris,Cristóbal,m,
Cris,Cristina,m,
Cuca,María del Refugio,f,Mexico
Cuco,Refugio,m,
Curro,Francisco,m,
Dago,Dagoberto,m,
Dani,Daniel,m,
Dani,Daniela,f,
Dora,Teodora,f,
Dora,Dorotea,f,
Edu,Eduardo,m,
Encarna,Encarnación,f,
Eli,Elisabeth,f,
Eli,Elisenda,f,
Fallo,Rafael,m,
Fede,Federico,m,
Feli,Felipe,m,
Feli,Félix,m,
Feli,Feliciano,m,
Feli,Felisa,f,
Fer,Fernando,m,
Fina,Josefina,f,
Fina,Delfina,f,
Fina,Serafina,f,
Fito,Adolfo,m,
Fito,Rodolfo,m,
Flor,Florencia,f,
Flora,Florencia,f,
Fonsi,Alfonso,m,
Franc,Franco,m,
Franc,Francisco,m,
Frasco,Frasquito,m,
Frasco,Francisco,m,
Frasquita,Francisca,f,
Froi,Froilán,m,
Fucho,Rafael,m,
Gabi,Gabriel,m,
Gabi,Gabriela,f,
Gapi,Agapito,m,
Gelen,Ángeles,f,
Gelen,María de los Ángeles,f,
Goyo,Gregorio,m,
Güicho,Luis,m,
Guille,Guillermo,m,
Guillo,Guillermo,m,
Inma,Inmaculada,f,
Isa,Isabel,f,
Isma,Ismael,m,
Isra,Israel,m,
Ivi,Iván,m,
Jaci,Jacinto,m,
Jaci,Jacinta,f,
Jano,Alejandro,m,
Jashi,Jacinto,m,
Jashi,Jacinta,f,
Javi,Javier,m,
Javi,Francisco Javier,m,
Jenni,Jennifer,f,
Josean,José Antonio,m,
Josean,José Andrés,m,
Josema,José María,m,
Josema,José Manuel,m,
Josemi,José Miguel,m,
Jovi,José Vicente,m,
Juanan,Juan Antonio,m,
Juanan,Juan Andrés,m,
Juancho,Juan José,m,
Juanfer,Juan Fernando,m,
Juanfran,Juan Francisco,m,
Juanjo,Juan José,m,
Juanlu,Juan Luis,m,
Juanma,Juan Manuel,m,
Juanma,Juan María,m,
Juanmi,Juan Miguel,m,
Juanpa,Juan Pablo,m,
Juansa,Juan Salvador,m,
Juanvi,Juan Vicente,m,
Kiki,Enrique,m,
Kiko,Federico,m,
Kiko,Francisco,m,
Lalo,Eduardo,m,
Lalo,Abelardo,m,
Lalo,Ladislao,m,
Lena,Elena,f,
Lena,Magdalena,f,
Lencho,Lorenzo,m,
Leni,Elena,f,
Leni,Magdalena,f,
Leo,Leopoldo,m,
Leo,Leandro,m,
Leo,Leonardo,m,
Leo,Leoncio,m,
Leo,Leocadia,f,
Leti,Leticia,f,
Letu,Leticia,f,
Licha,Alicia,f,
Lola,Dolores,f,
Loles,Dolores,f,
Loli,Dolores,f,
Lolita,Dolores,f,
Lolo,Manuel,m,
Loren,Lorenzo,m,
Lucero,María de la Luz,f,
Lucha,Lucía,f,
Lucho,Luis,m,
Lucho,Lucio,m,
Luismi,Luis Miguel,m,
Lulú,Lourdes,f,
Lupe,Guadalupe,f,
Lupita,Guadalupe,f,
Mabel,María Isabel,f,
Maca,Macarena,f,
Macu,Inmaculada,f,
Mafe,María Fernanda,f,
Magda,Magdalena,f,
Maite,María Teresa,f,
Mayte,María Teresa,f,
Malena,María Elena,f,
Malena,María Magdalena,f,
Mamen,María del Carmen,f,
Mando,Armando,m,
Manola,Manuela,f,
Manoli,Manuela,f,
Manolo,Manuel,m,
Manu,Manuel,m,
Manu,Manuela,f,
Mari,María,f,
Maribel,María Isabel,f,
Maricarmen,María del Carmen,f,
Marichu,María Jesús,f,
Marién,María Elena,f,
Marilena,María Elena,f,
Marilena,María Magdalena,f,
Marimar,María del Mar,f,
Marilú,María Luisa,f,
Marilú,María de la Luz,f,
Maripepa,María Josefa,f,
Maripepa,María José,f,
Marisa,María Luisa,f,
Martincho,Martín,m,
Matu,Matías,m,
Mauri,Mauricio,m,
Max,Máximo,m,
Max,Maximiliano,m,
Max,Maximino,m,
Maxi,Máximo,m,
Maxi,Maximiliano,m,
Maxi,Maximino,m,
Meche,Mercedes,f,
Meme,Manuel,m,Texas
Memel,José Manuel,m,
Memo,Guillermo,m,
Merce,Mercedes,f,
Merche,Mercedes,f,
Merchi,Mercedes,f,
Mine,Minerva,f,
Mingo,Domingo,m,
Moncho,Ramón,m,
Nacho,Ignacio,m,
Nancho,Venancio,m,
Nando,Fernando,m,
Nata,Renata,f,
Nati,Natalia,f,
Nati,Natividad,f,
Neto,Néstor,m,
Neto,Ernesto,m,
Nico,Nicolás,m,
Nico,Nicodemo,m,
Nines,Ángeles,f,
Nuchi,Encarnación,f,
Oli,Olivio,m,
Oli,Oliverio,m,
Paca,Francisca,f,
Pacho,Francisco,m,
Paco,Francisco,m,
Pancho,Francisco,m,
Paqui,Francisca,f,
Paqui,Francisco,m,
Paquita,Francisca,f,
Paquito,Francisco,m,
Pepa,Josefa,f,
Pepe,José,m,
Pepín,José,m,
Pepita,Josefa,f,
Pepito,José,m,
Perico,Pedro,m,
Pili,Pilar,f,
Piluca,Pilar,f,
Pina,Josefa,f,
Pita,Guadalupe,f,
Poldo,Leopoldo,m,
Poncho,Alfonso,m,
Quica,Francisca,f,
Quico,Francisco,m,
Quino,Joaquín,m,
Quique,Enrique,m,
Rafa,Rafael,m,
Rafi,Rafael,m,
Rafi,Rafaela,f,
Remi,Remigio,m,
Ria,María,f,
Richi,Ricardo,m,
Rober,Roberto,m,
Rodi,Rodolfo,m,
Rodri,Rodrigo,m,
Rosi,Rosa,f,
Rulo,Raúl,m,
Ruy,Rodrigo,m,
Sabri,Sabrina,f,
Salva,Salvador,m,
Samu,Samuel,m,
Sandra,Alejandra,f,
Sandro,Alejandro,m,
Santi,Santiago,m,
Sebas,Sebastián,m,
Segis,Segismundo,m,
Seve,Severo,m,
Seve,Severino,m,
Seve,Severiano,m,
Sonsi,Sonsoles,f,
Susi,Susana,f,
Suso,Jesús,m,
Tencha,Hortencia,f,
Teo,Teodoro,m,
Teo,Teófilo,m,
Tere,Teresa,f,
Tin,Martín,m,
Tina,Agustina,f,
Tina,Cristina,f,
Tina,Ernestina,f,
Tina,Florentina,f,
Tina,Valentina,f,
Tincho,Martín,m,
Tino,Agustín,m,
Tino,Cristino,m,
Tino,Florentino,m,
Tino,Valentín,m,
Tito,Alberto,m,
Tito,Humberto,m,
Tito,Norberto,m,
Tito,Roberto,m,
Tito,Rigoberto,m,
Tomi,Tomás,m,
Toni,Antonio,m,
Toñi,Antonia,f,
Tono,Antonio,m,
Toño,Antonio,m,
Toya,Victoria,f,
Trini,Trinidad,f,Texas
Upe,Guadalupe,f,
Vero,Verónica,f,
Vicen,Vicente,m,
Vicen,Vicenta,f,
Vicky,Victoria,f,
Viqui,Victoria,f,
Vico,Victoria,f,
Bico,Victoria,f,
Vito,Victoria,f,
Wences,Wenceslao,m,
Wes,Wenceslao,m,
Yola,Yolanda,f,
Yoli,Yolanda,f,
Zaca,Zacarías,m,
